"ID","time","name","weights alpha","weights beta","model A","model B","model C","alpha","beta","mode","use MBW","plus lora","custum name","save setting","use ID"
1,2023.04.20 13.55.26,realisticVisionV20_v20 x 0.75 + dreamshape x 0.25,,,e6415c4892,1dceefec07,,0.25,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal
2,2023.04.20 13.55.41,realisticVisionV20_v20 x 0.5 + dreamshape x 0.5,,,e6415c4892,1dceefec07,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal
3,2023.04.20 13.55.54,realisticVisionV20_v20 x 0.25 + dreamshape x 0.75,,,e6415c4892,1dceefec07,,0.75,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal
4,2023.04.20 14.04.18,realisticVisionV20_v20 x 0.75 + dreamshape x 0.25,,,e6415c4892,1dceefec07,,0.25,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal
5,2023.04.20 14.04.34,realisticVisionV20_v20 x 0.5 + dreamshape x 0.5,,,e6415c4892,1dceefec07,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal
6,2023.04.20 14.04.50,realisticVisionV20_v20 x 0.25 + dreamshape x 0.75,,,e6415c4892,1dceefec07,,0.75,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal
7,2023.04.20 14.05.06,realisticVisionV20_v20 x 0.75 + dreamshape x 0.25,,,e6415c4892,1dceefec07,,0.25,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal
8,2023.04.20 14.05.23,realisticVisionV20_v20 x 0.5 + dreamshape x 0.5,,,e6415c4892,1dceefec07,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal
9,2023.04.20 14.05.40,realisticVisionV20_v20 x 0.25 + dreamshape x 0.75,,,e6415c4892,1dceefec07,,0.75,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal
10,2023.04.20 14.05.56,realisticVisionV20_v20 x 0.75 + dreamshape x 0.25,,,e6415c4892,1dceefec07,,0.25,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal
11,2023.04.20 14.06.12,realisticVisionV20_v20 x 0.5 + dreamshape x 0.5,,,e6415c4892,1dceefec07,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal
12,2023.04.20 14.06.30,realisticVisionV20_v20 x 0.25 + dreamshape x 0.75,,,e6415c4892,1dceefec07,,0.75,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal
13,2023.04.20 15.01.51,realisticVisionV20_v20 x 0.55 + OldFish_2348V12 x 0.45,,,e6415c4892,bd399ee451,,0.45,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,"['safetensors', 'save metadata']",[],,normal
14,2023.04.20 15.05.20,realisticVisionV20_v20 x 0.55 + OldFish_2348V12 x 0.45,,,e6415c4892,bd399ee451,,0.45,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,"['safetensors', 'save metadata', 'save model']",[],,normal
15,2023.04.20 15.07.38,cartoonish_v1 x 0.55 + OldFish_2348V12 x 0.45,,,07f029f6d1,bd399ee451,,0.45,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,"['safetensors', 'save metadata', 'save model']",[],,normal
16,2023.04.20 15.14.45,realisticVisionV20_v20 + (darkSushiMixMix_brighterPruned -  v1-5-pruned-emaonly) x 0.3,,,e6415c4892,099e07547a,6ce0161689,0.3,0.25,Add difference:A+(B-C)*alpha,False,,"['safetensors', 'save metadata', 'save model']",[],,normal
17,2023.05.04 19.18.28,cartoonish_v1 x 0.5 + OldFish_2348V12 x 0.5,,,07f029f6d1,bd399ee451,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,['safetensors'],[],,cosineA,
18,2023.05.04 19.23.06,cartoonish_v1 x 0.75 + revAnimated_v122 x 0.25,,,07f029f6d1,f8bb2922e1,,0.25,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,cosineA,
19,2023.05.04 19.23.34,cartoonish_v1 x 0.5 + revAnimated_v122 x 0.5,,,07f029f6d1,f8bb2922e1,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,cosineA,
20,2023.05.04 19.24.02,cartoonish_v1 x 0.25 + revAnimated_v122 x 0.75,,,07f029f6d1,f8bb2922e1,,0.75,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,cosineA,
21,2023.05.04 19.24.29,cartoonish_v1 x 0.75 + revAnimated_v122 x 0.25,,,07f029f6d1,f8bb2922e1,,0.25,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,cosineA,
22,2023.05.04 19.24.57,cartoonish_v1 x 0.5 + revAnimated_v122 x 0.5,,,07f029f6d1,f8bb2922e1,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,cosineA,
23,2023.05.04 19.25.24,cartoonish_v1 x 0.25 + revAnimated_v122 x 0.75,,,07f029f6d1,f8bb2922e1,,0.75,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,cosineA,
24,2023.05.04 19.25.51,cartoonish_v1 x 0.75 + revAnimated_v122 x 0.25,,,07f029f6d1,f8bb2922e1,,0.25,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,cosineA,
25,2023.05.04 19.26.18,cartoonish_v1 x 0.5 + revAnimated_v122 x 0.5,,,07f029f6d1,f8bb2922e1,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,cosineA,
26,2023.05.04 19.26.43,cartoonish_v1 x 0.25 + revAnimated_v122 x 0.75,,,07f029f6d1,f8bb2922e1,,0.75,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,cosineA,
27,2023.05.04 19.28.59,cartoonish_v1 x 0.5 + revAnimated_v122 x 0.5,,,07f029f6d1,f8bb2922e1,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,['safetensors'],[],,normal,
28,2023.05.04 19.45.12,cartoonish_v1 x 0.75 + revAnimated_v122 x 0.25,,,07f029f6d1,f8bb2922e1,,0.25,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
29,2023.05.04 19.45.25,cartoonish_v1 x 0.5 + revAnimated_v122 x 0.5,,,07f029f6d1,f8bb2922e1,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
30,2023.05.04 19.45.38,cartoonish_v1 x 0.25 + revAnimated_v122 x 0.75,,,07f029f6d1,f8bb2922e1,,0.75,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
31,2023.05.04 19.45.51,cartoonish_v1 x 0.75 + revAnimated_v122 x 0.25,,,07f029f6d1,f8bb2922e1,,0.25,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
32,2023.05.04 19.46.03,cartoonish_v1 x 0.5 + revAnimated_v122 x 0.5,,,07f029f6d1,f8bb2922e1,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],,normal,
